Lang;Source;Metric;Value
C++;knucleotide;HALSTEAD__Bugs;1.526377400588348
C++;knucleotide;HALSTEAD__Estimated program length;613.0796346785355
C++;knucleotide;HALSTEAD__Purity ratio;0.8375404845335185
C++;knucleotide;MI__Original;38.5313055455879
C++;knucleotide;MI__Sei;-2.1069019620075977
C++;knucleotide;MI__Visual Studio;22.532927219642044
C++;mandelbrot;SLOC;177
C++;mandelbrot;PLOC;120
C++;mandelbrot;LLOC;50
C++;mandelbrot;CLOC;31
C++;mandelbrot;BLANK;26
C++;mandelbrot;CC;33.0
C++;mandelbrot;NARGS_SUM;14
C++;mandelbrot;NARGS_AVG;2.33333
C++;mandelbrot;COGNITIVE_SUM;23
C++;mandelbrot;COGNITIVE_AVG;3.83333
C++;mandelbrot;NEXITS;5
C++;mandelbrot;NEXITS_AVG;0.8333333333333334
C++;mandelbrot;NOM__functions;6
C++;mandelbrot;NOM__closures;0
C++;mandelbrot;NOM__total;6
C++;mandelbrot;HALSTEAD__n1;31
C++;mandelbrot;HALSTEAD__n2;76
C++;mandelbrot;HALSTEAD__N1;357
C++;mandelbrot;HALSTEAD__N2;277
C++;mandelbrot;HALSTEAD__Vocabulary;107
C++;mandelbrot;HALSTEAD__Length;634
C++;mandelbrot;HALSTEAD__Volume;4274.090069378328
C++;mandelbrot;HALSTEAD__Difficulty;56.49342105263158
C++;mandelbrot;HALSTEAD__Level;0.01770117619657622
C++;mandelbrot;HALSTEAD__Effort;241457.96990626122
C++;mandelbrot;HALSTEAD__Programming time;13414.331661458957
C++;mandelbrot;HALSTEAD__Bugs;1.2925274501455593
C++;mandelbrot;HALSTEAD__Estimated program length;628.4225766437056
C++;mandelbrot;HALSTEAD__Purity ratio;0.9912028022771382
C++;mandelbrot;MI__Original;36.0826764831795
C++;mandelbrot;MI__Sei;9.908528038966214
C++;mandelbrot;MI__Visual Studio;21.100980399520175
C++;nbody;SLOC;177
C++;nbody;PLOC;120
C++;nbody;LLOC;50
C++;nbody;CLOC;31
C++;nbody;BLANK;26
C++;nbody;CC;33.0
C++;nbody;NARGS_SUM;10
C++;nbody;NARGS_AVG;1.666667
C++;nbody;COGNITIVE_SUM;26
C++;nbody;COGNITIVE_AVG;4.333333
C++;nbody;NEXITS;5
C++;nbody;NEXITS_AVG;0.3333333333333333
C++;nbody;NOM__functions;6
C++;nbody;NOM__closures;0
C++;nbody;NOM__total;6
C++;nbody;HALSTEAD__n1;31
C++;nbody;HALSTEAD__n2;76
C++;nbody;HALSTEAD__N1;357
C++;nbody;HALSTEAD__N2;277
C++;nbody;HALSTEAD__Vocabulary;107
C++;nbody;HALSTEAD__Length;634
C++;nbody;HALSTEAD__Volume;4274.090069378328
C++;nbody;HALSTEAD__Difficulty;56.49342105263158
C++;nbody;HALSTEAD__Level;0.01770117619657622
C++;nbody;HALSTEAD__Effort;241457.96990626122
C++;nbody;HALSTEAD__Programming time;13414.331661458957
