Lang;Source;Metric;Value
JavaScript;fannkuchredux;NEXITS_AVG;1
JavaScript;fannkuchredux;NOM__functions;1
JavaScript;fannkuchredux;NOM__closures;0
JavaScript;fannkuchredux;NOM__total;1
JavaScript;fannkuchredux;HALSTEAD__n1;25
JavaScript;fannkuchredux;HALSTEAD__n2;27
JavaScript;fannkuchredux;HALSTEAD__N1;182
JavaScript;fannkuchredux;HALSTEAD__N2;162
JavaScript;fannkuchredux;HALSTEAD__Vocabulary;52
JavaScript;fannkuchredux;HALSTEAD__Length;344
JavaScript;fannkuchredux;HALSTEAD__Volume;1960.9512630405357
JavaScript;fannkuchredux;HALSTEAD__Difficulty;75.0
JavaScript;fannkuchredux;HALSTEAD__Level;0.013333333333333334
JavaScript;fannkuchredux;HALSTEAD__Effort;147071.34472804016
JavaScript;fannkuchredux;HALSTEAD__Programming time;8170.630262668898
JavaScript;fannkuchredux;HALSTEAD__Bugs;0.9287470646953468
JavaScript;fannkuchredux;HALSTEAD__Estimated program length;244.47836730278175
JavaScript;fannkuchredux;HALSTEAD__Purity ratio;0.7106929282057609
JavaScript;fannkuchredux;MI__Original;63.887689900566386
JavaScript;fannkuchredux;MI__Sei;55.96923838032948
JavaScript;fannkuchredux;MI__Visual Studio;37.36122216407391
JavaScript;fasta;SLOC;242
JavaScript;fasta;PLOC;177
JavaScript;fasta;LLOC;97
JavaScript;fasta;CLOC;5
JavaScript;fasta;BLANK;60
JavaScript;fasta;CC;35.0
JavaScript;fasta;NARGS_SUM;22
JavaScript;fasta;NARGS_AVG;1.29411
JavaScript;fasta;COGNITIVE_SUM;23
JavaScript;fasta;COGNITIVE_AVG;1.35294
JavaScript;fasta;NEXITS;17
JavaScript;fasta;NEXITS_AVG;1
JavaScript;fasta;NOM__functions;13
JavaScript;fasta;NOM__closures;4
JavaScript;fasta;NOM__total;17
JavaScript;fasta;HALSTEAD__n1;31
JavaScript;fasta;HALSTEAD__n2;105
JavaScript;fasta;HALSTEAD__N1;549
JavaScript;fasta;HALSTEAD__N2;330
JavaScript;fasta;HALSTEAD__Vocabulary;136
JavaScript;fasta;HALSTEAD__Length;879
JavaScript;fasta;HALSTEAD__Volume;6229.879837459048
JavaScript;fasta;HALSTEAD__Difficulty;48.714285714285715
JavaScript;fasta;HALSTEAD__Level;0.020527859237536656
JavaScript;fasta;HALSTEAD__Effort;303484.1463676479
JavaScript;fasta;HALSTEAD__Programming time;16860.23035375822
JavaScript;fasta;HALSTEAD__Bugs;1.5053451393999506
JavaScript;fasta;HALSTEAD__Estimated program length;858.575864976936
JavaScript;fasta;HALSTEAD__Purity ratio;0.9767643515095973
JavaScript;fasta;MI__Original;28.59622475214701
JavaScript;fasta;MI__Sei;-19.839270012434973
JavaScript;fasta;MI__Visual Studio;16.722938451547957
JavaScript;knucleotide;SLOC;92
JavaScript;knucleotide;PLOC;76
JavaScript;knucleotide;LLOC;64
JavaScript;knucleotide;CLOC;7
JavaScript;knucleotide;BLANK;9
JavaScript;knucleotide;CC;28.0
JavaScript;knucleotide;NARGS_SUM;12
JavaScript;knucleotide;NARGS_AVG;1
JavaScript;knucleotide;COGNITIVE_SUM;15
JavaScript;knucleotide;COGNITIVE_AVG;1.25
JavaScript;knucleotide;NEXITS;5
JavaScript;knucleotide;NEXITS_AVG;0.4166666666666667
JavaScript;knucleotide;NOM__functions;11
JavaScript;knucleotide;NOM__closures;1
JavaScript;knucleotide;NOM__total;12
JavaScript;knucleotide;HALSTEAD__n1;30
JavaScript;knucleotide;HALSTEAD__n2;68
JavaScript;knucleotide;HALSTEAD__N1;283
JavaScript;knucleotide;HALSTEAD__N2;200
JavaScript;knucleotide;HALSTEAD__Vocabulary;98
JavaScript;knucleotide;HALSTEAD__Length;483
JavaScript;knucleotide;HALSTEAD__Volume;3194.9048547076454
JavaScript;knucleotide;HALSTEAD__Difficulty;44.11764705882353
JavaScript;knucleotide;HALSTEAD__Level;0.02266666666666667
JavaScript;knucleotide;HALSTEAD__Effort;140951.68476651376
JavaScript;knucleotide;HALSTEAD__Programming time;7830.649153695209
JavaScript;knucleotide;HALSTEAD__Bugs;0.9028014739671906
JavaScript;knucleotide;HALSTEAD__Estimated program length;561.1541910732786
JavaScript;knucleotide;HALSTEAD__Purity ratio;1.161809919406374
JavaScript;knucleotide;MI__Original;49.346599599748785
JavaScript;knucleotide;MI__Sei;19.06419873801134
JavaScript;knucleotide;MI__Visual Studio;28.857660584648414
JavaScript;mandelbrot;SLOC;99
JavaScript;mandelbrot;PLOC;76
JavaScript;mandelbrot;LLOC;51
JavaScript;mandelbrot;CLOC;11
JavaScript;mandelbrot;BLANK;12
JavaScript;mandelbrot;CC;17.0
JavaScript;mandelbrot;NARGS_SUM;3
JavaScript;mandelbrot;NARGS_AVG;1
JavaScript;mandelbrot;COGNITIVE_SUM;26
JavaScript;mandelbrot;COGNITIVE_AVG;8.666666
JavaScript;mandelbrot;NEXITS;1
JavaScript;mandelbrot;NEXITS_AVG;0.3333333333333333
JavaScript;mandelbrot;NOM__functions;3
JavaScript;mandelbrot;NOM__closures;0
JavaScript;mandelbrot;NOM__total;3
JavaScript;mandelbrot;HALSTEAD__n1;29
JavaScript;mandelbrot;HALSTEAD__n2;56
JavaScript;mandelbrot;HALSTEAD__N1;229
JavaScript;mandelbrot;HALSTEAD__N2;179
JavaScript;mandelbrot;HALSTEAD__Vocabulary;85
JavaScript;mandelbrot;HALSTEAD__Length;408
JavaScript;mandelbrot;HALSTEAD__Volume;2615.0315019441823
JavaScript;mandelbrot;HALSTEAD__Difficulty;46.348214285714285
JavaScript;mandelbrot;HALSTEAD__Level;0.021575804276632634
JavaScript;mandelbrot;HALSTEAD__Effort;121202.04041600223
JavaScript;mandelbrot;HALSTEAD__Programming time;6733.446689777902
JavaScript;mandelbrot;HALSTEAD__Bugs;0.8163668592877504
JavaScript;mandelbrot;HALSTEAD__Estimated program length;466.09332449392537
JavaScript;mandelbrot;HALSTEAD__Purity ratio;1.142385599249817
JavaScript;mandelbrot;MI__Original;51.730095027912654
JavaScript;mandelbrot;MI__Sei;25.34837941970405
JavaScript;mandelbrot;MI__Visual Studio;30.25151756018284
JavaScript;nbody;SLOC;162
JavaScript;nbody;PLOC;135
JavaScript;nbody;LLOC;79
JavaScript;nbody;CLOC;3
JavaScript;nbody;BLANK;24
JavaScript;nbody;CC;18.0
JavaScript;nbody;NARGS_SUM;12
JavaScript;nbody;NARGS_AVG;1.2
JavaScript;nbody;COGNITIVE_SUM;9
JavaScript;nbody;COGNITIVE_AVG;0.9
JavaScript;nbody;NEXITS;7
JavaScript;nbody;NEXITS_AVG;0.7
JavaScript;nbody;NOM__functions;10
JavaScript;nbody;NOM__closures;0
JavaScript;nbody;NOM__total;10
JavaScript;nbody;HALSTEAD__n1;18
JavaScript;nbody;HALSTEAD__n2;80
JavaScript;nbody;HALSTEAD__N1;410
JavaScript;nbody;HALSTEAD__N2;311
JavaScript;nbody;HALSTEAD__Vocabulary;98
JavaScript;nbody;HALSTEAD__Length;721
JavaScript;nbody;HALSTEAD__Volume;4769.2057976070655
JavaScript;nbody;HALSTEAD__Difficulty;34.9875
JavaScript;nbody;HALSTEAD__Level;0.0285816362986781
JavaScript;nbody;HALSTEAD__Effort;166862.5878437772
JavaScript;nbody;HALSTEAD__Programming time;9270.143769098733
JavaScript;nbody;HALSTEAD__Bugs;1.0103024242212915
JavaScript;nbody;HALSTEAD__Estimated program length;580.8128976169506
JavaScript;nbody;HALSTEAD__Purity ratio;0.8055657387197651
JavaScript;nbody;MI__Original;40.39727700229028
JavaScript;nbody;MI__Sei;-5.12412539241763
JavaScript;nbody;MI__Visual Studio;23.624138597830573
JavaScript;regexredux;SLOC;33
JavaScript;regexredux;PLOC;22
JavaScript;regexredux;LLOC;10
JavaScript;regexredux;CLOC;8
JavaScript;regexredux;BLANK;3
JavaScript;regexredux;CC;4.0
JavaScript;regexredux;NARGS_SUM;0
JavaScript;regexredux;NARGS_AVG;0
JavaScript;regexredux;COGNITIVE_SUM;4
JavaScript;regexredux;COGNITIVE_AVG;4
JavaScript;regexredux;NEXITS;0
JavaScript;regexredux;NEXITS_AVG;0
JavaScript;regexredux;NOM__functions;0
JavaScript;regexredux;NOM__closures;0
JavaScript;regexredux;NOM__total;0
JavaScript;regexredux;HALSTEAD__n1;14
JavaScript;regexredux;HALSTEAD__n2;23
JavaScript;regexredux;HALSTEAD__N1;113
JavaScript;regexredux;HALSTEAD__N2;50
JavaScript;regexredux;HALSTEAD__Vocabulary;37
JavaScript;regexredux;HALSTEAD__Length;163
JavaScript;regexredux;HALSTEAD__Volume;849.1408985975189
JavaScript;regexredux;HALSTEAD__Difficulty;15.217391304347826
JavaScript;regexredux;HALSTEAD__Level;0.06571428571428571
JavaScript;regexredux;HALSTEAD__Effort;12921.709326483984
JavaScript;regexredux;HALSTEAD__Programming time;717.8727403602213
JavaScript;regexredux;HALSTEAD__Bugs;0.18355183201932318
JavaScript;regexredux;HALSTEAD__Estimated program length;157.34489389811776
JavaScript;regexredux;HALSTEAD__Purity ratio;0.9653060975344648
JavaScript;regexredux;MI__Original;78.36660682386069
JavaScript;regexredux;MI__Sei;72.31187482648421
JavaScript;regexredux;MI__Visual Studio;45.82842504319339
JavaScript;revcomp;SLOC;186
JavaScript;revcomp;PLOC;148
JavaScript;revcomp;LLOC;110
JavaScript;revcomp;CLOC;20
JavaScript;revcomp;BLANK;18
JavaScript;revcomp;CC;24.0
JavaScript;revcomp;NARGS_SUM;3
JavaScript;revcomp;NARGS_AVG;0.75
JavaScript;revcomp;COGNITIVE_SUM;40
JavaScript;revcomp;COGNITIVE_AVG;10
JavaScript;revcomp;NEXITS;2
JavaScript;revcomp;NEXITS_AVG;0.5
JavaScript;revcomp;NOM__functions;4
JavaScript;revcomp;NOM__closures;0
JavaScript;revcomp;NOM__total;4
JavaScript;revcomp;HALSTEAD__n1;29
JavaScript;revcomp;HALSTEAD__n2;69
JavaScript;revcomp;HALSTEAD__N1;439
JavaScript;revcomp;HALSTEAD__N2;290
JavaScript;revcomp;HALSTEAD__Vocabulary;98
JavaScript;revcomp;HALSTEAD__Length;729
JavaScript;revcomp;HALSTEAD__Volume;4822.123476359987
JavaScript;revcomp;HALSTEAD__Difficulty;60.94202898550725
JavaScript;revcomp;HALSTEAD__Level;0.016409036860879904
JavaScript;revcomp;HALSTEAD__Effort;293869.9886680253
JavaScript;revcomp;HALSTEAD__Programming time;16326.110481556962
JavaScript;revcomp;HALSTEAD__Bugs;1.4733827109553517
JavaScript;revcomp;HALSTEAD__Estimated program length;562.3696363763933
JavaScript;revcomp;HALSTEAD__Purity ratio;0.7714261129991677
JavaScript;revcomp;MI__Original;36.72186162633774
JavaScript;revcomp;MI__Sei;4.042833620573553
JavaScript;revcomp;MI__Visual Studio;21.474772880899263
JavaScript;spectralnorm;SLOC;50
JavaScript;spectralnorm;PLOC;36
JavaScript;spectralnorm;LLOC;25
JavaScript;spectralnorm;CLOC;5
JavaScript;spectralnorm;BLANK;9
JavaScript;spectralnorm;CC;8.0
JavaScript;spectralnorm;NARGS_SUM;10
JavaScript;spectralnorm;NARGS_AVG;2
JavaScript;spectralnorm;COGNITIVE_SUM;9
JavaScript;spectralnorm;COGNITIVE_AVG;1.8
JavaScript;spectralnorm;NEXITS;4
JavaScript;spectralnorm;NEXITS_AVG;0.4
JavaScript;spectralnorm;NOM__functions;3
JavaScript;spectralnorm;NOM__closures;0
JavaScript;spectralnorm;NOM__total;3
JavaScript;spectralnorm;HALSTEAD__n1;20
JavaScript;spectralnorm;HALSTEAD__n2;27
JavaScript;spectralnorm;HALSTEAD__N1;115
JavaScript;spectralnorm;HALSTEAD__N2;85
JavaScript;spectralnorm;HALSTEAD__Vocabulary;47
JavaScript;spectralnorm;HALSTEAD__Length;200
JavaScript;spectralnorm;HALSTEAD__Volume;1110.9177703355276
JavaScript;spectralnorm;HALSTEAD__Difficulty;31.48148148148148
JavaScript;spectralnorm;HALSTEAD__Level;0.031764705882352945
JavaScript;spectralnorm;HALSTEAD__Effort;34973.33721426661
JavaScript;spectralnorm;HALSTEAD__Programming time;1942.9631785703673
JavaScript;spectralnorm;HALSTEAD__Bugs;0.35648133497983825
JavaScript;spectralnorm;HALSTEAD__Estimated program length;214.8205244561609
JavaScript;spectralnorm;HALSTEAD__Purity ratio;1.0741026222808046
JavaScript;spectralnorm;MI__Original;69.31793009349876
JavaScript;spectralnorm;MI__Sei;48.64513299274641
JavaScript;spectralnorm;MI__Visual Studio;40.53680122426828
Python;binarytrees;SLOC;76
Python;binarytrees;PLOC;48
Python;binarytrees;LLOC;39
Python;binarytrees;CLOC;6
Python;binarytrees;BLANK;22
Python;binarytrees;CC;16.0
Python;binarytrees;NARGS_SUM;10
Python;binarytrees;NARGS_AVG;2
Python;binarytrees;COGNITIVE_SUM;13
Python;binarytrees;COGNITIVE_AVG;2.6
Python;binarytrees;NEXITS;5
Python;binarytrees;NEXITS_AVG;1
Python;binarytrees;NOM__functions;5
Python;binarytrees;NOM__closures;0
Python;binarytrees;NOM__total;5
Python;binarytrees;HALSTEAD__n1;22
Python;binarytrees;HALSTEAD__n2;52
Python;binarytrees;HALSTEAD__N1;94
Python;binarytrees;HALSTEAD__N2;142
Python;binarytrees;HALSTEAD__Vocabulary;74
Python;binarytrees;HALSTEAD__Length;236
Python;binarytrees;HALSTEAD__Volume;1465.4309942884322
Python;binarytrees;HALSTEAD__Difficulty;30.03846153846154
Python;binarytrees;HALSTEAD__Level;0.03329065300896287
Python;binarytrees;HALSTEAD__Effort;44019.29255920252
Python;binarytrees;HALSTEAD__Programming time;2445.516253289029
Python;binarytrees;HALSTEAD__Bugs;0.4155667428621877
Python;binarytrees;HALSTEAD__Estimated program length;394.5303609533573
Python;binarytrees;HALSTEAD__Purity ratio;1.6717388175989716
Python;binarytrees;MI__Original;59.254615591723194
Python;binarytrees;MI__Sei;32.498081939061336
Python;binarytrees;MI__Visual Studio;34.651821983463854
Python;fannkuchredux;SLOC;106
Python;fannkuchredux;PLOC;85
Python;fannkuchredux;LLOC;77
Python;fannkuchredux;CLOC;5
Python;fannkuchredux;BLANK;16
Python;fannkuchredux;CC;33.0
Python;fannkuchredux;NARGS_SUM;10
Python;fannkuchredux;NARGS_AVG;2
Python;fannkuchredux;COGNITIVE_SUM;52
Python;fannkuchredux;COGNITIVE_AVG;10.4
Python;fannkuchredux;NEXITS;1
Python;fannkuchredux;NEXITS_AVG;0.2
Python;fannkuchredux;NOM__functions;4
Python;fannkuchredux;NOM__closures;1
Python;fannkuchredux;NOM__total;5
Python;fannkuchredux;HALSTEAD__n1;30
Python;fannkuchredux;HALSTEAD__n2;72
Python;fannkuchredux;HALSTEAD__N1;182
Python;fannkuchredux;HALSTEAD__N2;281
Python;fannkuchredux;HALSTEAD__Vocabulary;102
Python;fannkuchredux;HALSTEAD__Length;463
Python;fannkuchredux;HALSTEAD__Volume;3089.3329333328024
Python;fannkuchredux;HALSTEAD__Difficulty;58.541666666666664
Python;fannkuchredux;HALSTEAD__Level;0.01708185053380783
Python;fannkuchredux;HALSTEAD__Effort;180854.69880552447
Python;fannkuchredux;HALSTEAD__Programming time;10047.483266973582
Python;fannkuchredux;HALSTEAD__Bugs;1.066019812671971
Python;fannkuchredux;HALSTEAD__Estimated program length;591.4413179721021
Python;fannkuchredux;HALSTEAD__Purity ratio;1.2774110539354255
Python;fannkuchredux;MI__Original;46.07659224487226
Python;fannkuchredux;MI__Sei;10.6412127949326
Python;fannkuchredux;MI__Visual Studio;26.945375581796647
Python;fasta;SLOC;138
Python;fasta;PLOC;79
Python;fasta;LLOC;68
Python;fasta;CLOC;28
Python;fasta;BLANK;31
Python;fasta;CC;15.0
Python;fasta;NARGS_SUM;6
Python;fasta;NARGS_AVG;1.5
Python;fasta;COGNITIVE_SUM;12
Python;fasta;COGNITIVE_AVG;3
Python;fasta;NEXITS;2
Python;fasta;NEXITS_AVG;0.5
Python;fasta;NOM__functions;4
Python;fasta;NOM__closures;0
Python;fasta;NOM__total;4
Python;fasta;HALSTEAD__n1;18
Python;fasta;HALSTEAD__n2;91
Python;fasta;HALSTEAD__N1;140
Python;fasta;HALSTEAD__N2;234
Python;fasta;HALSTEAD__Vocabulary;109
Python;fasta;HALSTEAD__Length;374
Python;fasta;HALSTEAD__Volume;2531.3009374665703
Python;fasta;HALSTEAD__Difficulty;23.142857142857142
Python;fasta;HALSTEAD__Level;0.043209876543209874
Python;fasta;HALSTEAD__Effort;58581.5359813692
Python;fasta;HALSTEAD__Programming time;3254.5297767427332
Python;fasta;HALSTEAD__Bugs;0.5027891705409683
Python;fasta;HALSTEAD__Estimated program length;667.2679622840429
Python;fasta;HALSTEAD__Purity ratio;1.7841389365883502
Python;fasta;MI__Original;46.97874929915429
Python;fasta;MI__Sei;25.729998103367933
Python;fasta;MI__Visual Studio;27.472952806522976
Python;knucleotide;SLOC;186
Python;knucleotide;PLOC;156
Python;knucleotide;LLOC;128
Python;knucleotide;CLOC;4
Python;knucleotide;BLANK;26
Python;knucleotide;CC;59.0
Python;knucleotide;NARGS_SUM;28
Python;knucleotide;NARGS_AVG;2.1538
Python;knucleotide;COGNITIVE_SUM;70
Python;knucleotide;COGNITIVE_AVG;5.3846153
Python;knucleotide;NEXITS;7
Python;knucleotide;NEXITS_AVG;0.5384615384615384
Python;knucleotide;NOM__functions;10
Python;knucleotide;NOM__closures;3
Python;knucleotide;NOM__total;13
Python;knucleotide;HALSTEAD__n1;29
Python;knucleotide;HALSTEAD__n2;139
Python;knucleotide;HALSTEAD__N1;380
Python;knucleotide;HALSTEAD__N2;588
Python;knucleotide;HALSTEAD__Vocabulary;168
Python;knucleotide;HALSTEAD__Length;968
Python;knucleotide;HALSTEAD__Volume;7155.7632652498405
Python;knucleotide;HALSTEAD__Difficulty;61.33812949640288
Python;knucleotide;HALSTEAD__Level;0.01630307295331926
Python;knucleotide;HALSTEAD__Effort;438921.1338094974
Python;knucleotide;HALSTEAD__Programming time;24384.507433860967
Python;knucleotide;HALSTEAD__Bugs;1.925172902533652
Python;knucleotide;HALSTEAD__Estimated program length;1130.414257967267
Python;knucleotide;HALSTEAD__Purity ratio;1.1677833243463502
Python;knucleotide;MI__Original;26.619402402992506
Python;knucleotide;MI__Sei;-20.028025772787338
Python;knucleotide;MI__Visual Studio;15.566901990054097
Python;mandelbrot;SLOC;74
Python;mandelbrot;PLOC;59
Python;mandelbrot;LLOC;53
Python;mandelbrot;CLOC;4
Python;mandelbrot;BLANK;11
Python;mandelbrot;CC;22.0
Python;mandelbrot;NARGS_SUM;9
Python;mandelbrot;NARGS_AVG;1.8
Python;mandelbrot;COGNITIVE_SUM;24
Python;mandelbrot;COGNITIVE_AVG;4.8
Python;mandelbrot;NEXITS;1
Python;mandelbrot;NEXITS_AVG;0.2
Python;mandelbrot;NOM__functions;5
Python;mandelbrot;NOM__closures;0
Python;mandelbrot;NOM__total;5
Python;mandelbrot;HALSTEAD__n1;31
Python;mandelbrot;HALSTEAD__n2;68
Python;mandelbrot;HALSTEAD__N1;117
Python;mandelbrot;HALSTEAD__N2;174
Python;mandelbrot;HALSTEAD__Vocabulary;99
Python;mandelbrot;HALSTEAD__Length;291
Python;mandelbrot;HALSTEAD__Volume;1929.1427764431664
Python;mandelbrot;HALSTEAD__Difficulty;39.661764705882355
Python;mandelbrot;HALSTEAD__Level;0.02521319985168706
Python;mandelbrot;HALSTEAD__Effort;76513.20688334147
Python;mandelbrot;HALSTEAD__Programming time;4250.733715741193
Python;mandelbrot;HALSTEAD__Bugs;0.600762775679386
Python;mandelbrot;HALSTEAD__Estimated program length;567.5275588270163
Python;mandelbrot;HALSTEAD__Purity ratio;1.95026652517875
Python;mandelbrot;MI__Original;56.87702415516006
Python;mandelbrot;MI__Sei;26.21752637598056
Python;mandelbrot;MI__Visual Studio;33.261417634596526
Python;nbody;SLOC;116
Python;nbody;PLOC;89
Python;nbody;LLOC;53
Python;nbody;CLOC;7
Python;nbody;BLANK;20
Python;nbody;CC;15.0
Python;nbody;NARGS_SUM;15
Python;nbody;NARGS_AVG;3
Python;nbody;COGNITIVE_SUM;12
Python;nbody;COGNITIVE_AVG;2.4
Python;nbody;NEXITS;1
Python;nbody;NEXITS_AVG;0.2
Python;nbody;NOM__functions;5
Python;nbody;NOM__closures;0
Python;nbody;NOM__total;5
Python;nbody;HALSTEAD__n1;18
Python;nbody;HALSTEAD__n2;104
Python;nbody;HALSTEAD__N1;228
Python;nbody;HALSTEAD__N2;295
Python;nbody;HALSTEAD__Vocabulary;122
Python;nbody;HALSTEAD__Length;523
Python;nbody;HALSTEAD__Volume;3624.77562754539
Python;nbody;HALSTEAD__Difficulty;25.528846153846153
Python;nbody;HALSTEAD__Level;0.039171374764595104
Python;nbody;HALSTEAD__Effort;92536.33933781741
Python;nbody;HALSTEAD__Programming time;5140.907740989856
Python;nbody;HALSTEAD__Bugs;0.6819517089673753
Python;nbody;HALSTEAD__Estimated program length;771.9043807126351
Python;nbody;HALSTEAD__Purity ratio;1.4759165979209083
Python;nbody;MI__Original;47.92499102255418
Python;nbody;MI__Sei;13.539717969646862
Python;nbody;MI__Visual Studio;28.026310539505367
Python;regexredux;SLOC;55
Python;regexredux;PLOC;37
Python;regexredux;LLOC;23
Python;regexredux;CLOC;8
Python;regexredux;BLANK;10
Python;regexredux;CC;7.0
Python;regexredux;NARGS_SUM;2
Python;regexredux;NARGS_AVG;0.666666
Python;regexredux;COGNITIVE_SUM;3
Python;regexredux;COGNITIVE_AVG;1
Python;regexredux;NEXITS;1
Python;regexredux;NEXITS_AVG;0.3333333333333333
Python;regexredux;NOM__functions;3
Python;regexredux;NOM__closures;0
Python;regexredux;NOM__total;3
Python;regexredux;HALSTEAD__n1;12
Python;regexredux;HALSTEAD__n2;53
Python;regexredux;HALSTEAD__N1;55
Python;regexredux;HALSTEAD__N2;93
Python;regexredux;HALSTEAD__Vocabulary;65
Python;regexredux;HALSTEAD__Length;148
Python;regexredux;HALSTEAD__Volume;891.3104363282113
Python;regexredux;HALSTEAD__Difficulty;10.528301886792454
Python;regexredux;HALSTEAD__Level;0.09498207885304659
Python;regexredux;HALSTEAD__Effort;9383.985348512111
Python;regexredux;HALSTEAD__Programming time;521.332519361784
Python;regexredux;HALSTEAD__Bugs;0.1482985686437413
Python;regexredux;HALSTEAD__Estimated program length;346.5993341005034
Python;regexredux;HALSTEAD__Purity ratio;2.341887392570969
Python;regexredux;MI__Original;69.14919994231667
Python;regexredux;MI__Sei;52.626000681014844
Python;regexredux;MI__Visual Studio;40.43812862123782
Python;revcomp;SLOC;74
Python;revcomp;PLOC;61
Python;revcomp;LLOC;62
Python;revcomp;CLOC;4
Python;revcomp;BLANK;9
Python;revcomp;CC;25.0
Python;revcomp;NARGS_SUM;8
Python;revcomp;NARGS_AVG;2
Python;revcomp;COGNITIVE_SUM;38
Python;revcomp;COGNITIVE_AVG;9.5
Python;revcomp;NEXITS;1
Python;revcomp;NEXITS_AVG;0.25
Python;revcomp;NOM__functions;4
Python;revcomp;NOM__closures;0
Python;revcomp;NOM__total;4
Python;revcomp;HALSTEAD__n1;24
Python;revcomp;HALSTEAD__n2;73
Python;revcomp;HALSTEAD__N1;135
Python;revcomp;HALSTEAD__N2;199
Python;revcomp;HALSTEAD__Vocabulary;97
Python;revcomp;HALSTEAD__Length;334
Python;revcomp;HALSTEAD__Volume;2204.3708892905006
Python;revcomp;HALSTEAD__Difficulty;32.71232876712329
Python;revcomp;HALSTEAD__Level;0.030569514237855946
Python;revcomp;HALSTEAD__Effort;72110.10525514679
Python;revcomp;HALSTEAD__Programming time;4006.116958619266
Python;revcomp;HALSTEAD__Bugs;0.5774878237182266
Python;revcomp;HALSTEAD__Estimated program length;561.896292815549
Python;revcomp;HALSTEAD__Purity ratio;1.6823242299866739
Python;revcomp;MI__Original;55.4935188218906
Python;revcomp;MI__Sei;24.527009670842695
Python;revcomp;MI__Visual Studio;32.45235018824012
Python;spectralnorm;SLOC;62
Python;spectralnorm;PLOC;39
Python;spectralnorm;LLOC;32
Python;spectralnorm;CLOC;8
Python;spectralnorm;BLANK;15
Python;spectralnorm;CC;15.0
Python;spectralnorm;NARGS_SUM;7
Python;spectralnorm;NARGS_AVG;1
Python;spectralnorm;COGNITIVE_SUM;5
Python;spectralnorm;COGNITIVE_AVG;0.7142857
Python;spectralnorm;NEXITS;6
Python;spectralnorm;NEXITS_AVG;0.8571428571428571
Python;spectralnorm;NOM__functions;7
Python;spectralnorm;NOM__closures;0
Python;spectralnorm;NOM__total;7
Python;spectralnorm;HALSTEAD__n1;16
Python;spectralnorm;HALSTEAD__n2;46
Python;spectralnorm;HALSTEAD__N1;81
Python;spectralnorm;HALSTEAD__N2;126
Python;spectralnorm;HALSTEAD__Vocabulary;62
Python;spectralnorm;HALSTEAD__Length;207
Python;spectralnorm;HALSTEAD__Volume;1232.518636250083
Python;spectralnorm;HALSTEAD__Difficulty;21.91304347826087
Python;spectralnorm;HALSTEAD__Level;0.04563492063492063
Python;spectralnorm;HALSTEAD__Effort;27008.234463914865
Python;spectralnorm;HALSTEAD__Programming time;1500.4574702174925
Python;spectralnorm;HALSTEAD__Bugs;0.3000609929289894
Python;spectralnorm;HALSTEAD__Estimated program length;318.0838499786226
Python;spectralnorm;HALSTEAD__Purity ratio;1.5366369564184665
Python;spectralnorm;MI__Original;63.6829848245098
Python;spectralnorm;MI__Sei;44.111884448118616
Python;spectralnorm;MI__Visual Studio;37.241511593280585
Rust;binarytrees;SLOC;75
Rust;binarytrees;PLOC;56
Rust;binarytrees;LLOC;31
Rust;binarytrees;CLOC;7
Rust;binarytrees;BLANK;12
Rust;binarytrees;CC;12.0
Rust;binarytrees;NARGS_SUM;14
Rust;binarytrees;NARGS_AVG;2
Rust;binarytrees;COGNITIVE_SUM;5
Rust;binarytrees;COGNITIVE_AVG;0.71428571
Rust;binarytrees;NEXITS;3
Rust;binarytrees;NEXITS_AVG;0.42857142857142855
Rust;binarytrees;NOM__functions;4
Rust;binarytrees;NOM__closures;3
Rust;binarytrees;NOM__total;7
Rust;binarytrees;HALSTEAD__n1;22
Rust;binarytrees;HALSTEAD__n2;43
Rust;binarytrees;HALSTEAD__N1;193
Rust;binarytrees;HALSTEAD__N2;140
Rust;binarytrees;HALSTEAD__Vocabulary;65
Rust;binarytrees;HALSTEAD__Length;333
Rust;binarytrees;HALSTEAD__Volume;2005.4484817384753
Rust;binarytrees;HALSTEAD__Difficulty;35.81395348837209
Rust;binarytrees;HALSTEAD__Level;0.02792207792207792
Rust;binarytrees;HALSTEAD__Effort;71823.03864830818
Rust;binarytrees;HALSTEAD__Programming time;3990.168813794899
Rust;binarytrees;HALSTEAD__Bugs;0.5759541722145377
Rust;binarytrees;HALSTEAD__Estimated program length;331.4368800622107
Rust;binarytrees;HALSTEAD__Purity ratio;0.9953059461327649
Rust;binarytrees;MI__Original;58.75785297946959
Rust;binarytrees;MI__Sei;33.08134287773029
Rust;binarytrees;MI__Visual Studio;34.36131753185356
Rust;fannkuchredux;SLOC;145
Rust;fannkuchredux;PLOC;95
Rust;fannkuchredux;LLOC;63
Rust;fannkuchredux;CLOC;33
Rust;fannkuchredux;BLANK;17
Rust;fannkuchredux;CC;22.0
Rust;fannkuchredux;NARGS_SUM;13
Rust;fannkuchredux;NARGS_AVG;2.1666666
Rust;fannkuchredux;COGNITIVE_SUM;38
Rust;fannkuchredux;COGNITIVE_AVG;6.3333333
Rust;fannkuchredux;NEXITS;2
Rust;fannkuchredux;NEXITS_AVG;0.3333333333333333
Rust;fannkuchredux;NOM__functions;2
Rust;fannkuchredux;NOM__closures;4
Rust;fannkuchredux;NOM__total;6
Rust;fannkuchredux;HALSTEAD__n1;32
